Iteration 1, loss = 1.72871936
Iteration 2, loss = 0.32344777
Iteration 3, loss = 0.18348855
Iteration 4, loss = 0.07098472
Iteration 5, loss = 0.04384979
Iteration 6, loss = 0.02752115
Iteration 7, loss = 0.01714087
Iteration 8, loss = 0.01200581
Iteration 9, loss = 0.00824487
Iteration 10, loss = 0.00628788
Iteration 11, loss = 0.00505946
Iteration 12, loss = 0.00445481
Iteration 13, loss = 0.00406765
Iteration 14, loss = 0.00405041
Iteration 15, loss = 0.00389541
Iteration 16, loss = 0.00360247
Iteration 17, loss = 0.00342431
Iteration 18, loss = 0.00325892
Iteration 19, loss = 0.00300786
Iteration 20, loss = 0.00292625
Iteration 21, loss = 0.00297804
Iteration 22, loss = 0.00301437
Iteration 23, loss = 0.00284018
Iteration 24, loss = 0.00280086
Iteration 25, loss = 0.00265795
Iteration 26, loss = 0.00254485
Iteration 27, loss = 0.00243076
Iteration 28, loss = 0.00229301
Iteration 29, loss = 0.00227952
Iteration 30, loss = 0.00239260
Iteration 31, loss = 0.00240672
Iteration 32, loss = 0.00236031
Iteration 33, loss = 0.00237046
Iteration 34, loss = 0.00229848
Iteration 35, loss = 0.00229588
Iteration 36, loss = 0.00229392
Iteration 37, loss = 0.00231527
Iteration 38, loss = 0.00232988
Iteration 39, loss = 0.00221342
