Iteration 1, loss = 6.49950793
Iteration 2, loss = 0.74649853
Iteration 3, loss = 0.41925872
Iteration 4, loss = 0.40378927
Iteration 5, loss = 0.39321470
Iteration 6, loss = 0.34050370
Iteration 7, loss = 0.23066276
Iteration 8, loss = 0.16267311
Iteration 9, loss = 0.12645441
Iteration 10, loss = 0.09453039
Iteration 11, loss = 0.09052708
Iteration 12, loss = 0.07426676
Iteration 13, loss = 0.05804989
Iteration 14, loss = 0.04420191
Iteration 15, loss = 0.04576030
Iteration 16, loss = 0.03426709
Iteration 17, loss = 0.02985248
Iteration 18, loss = 0.02689071
Iteration 19, loss = 0.03069818
Iteration 20, loss = 0.02550568
Iteration 21, loss = 0.02297623
Iteration 22, loss = 0.02165429
Iteration 23, loss = 0.03501203
Iteration 24, loss = 0.02584763
Iteration 25, loss = 0.01493935
Iteration 26, loss = 0.01183606
Iteration 27, loss = 0.01205534
Iteration 28, loss = 0.01159775
Iteration 29, loss = 0.01120599
Iteration 30, loss = 0.01054384
Iteration 31, loss = 0.00822402
Iteration 32, loss = 0.00756101
Iteration 33, loss = 0.00979075
Iteration 34, loss = 0.00793268
Iteration 35, loss = 0.00658232
Iteration 36, loss = 0.00588918
Iteration 37, loss = 0.00653018
Iteration 38, loss = 0.00859923
Iteration 39, loss = 0.00788320
Iteration 40, loss = 0.00852365
Iteration 41, loss = 0.00822472
Iteration 42, loss = 0.00983189
Iteration 43, loss = 0.00681072
Iteration 44, loss = 0.00743560
Iteration 45, loss = 0.00477061
Iteration 46, loss = 0.00435668
Iteration 47, loss = 0.00445386
Iteration 48, loss = 0.00540794
Iteration 49, loss = 0.01269022
Iteration 50, loss = 0.00610342
Iteration 51, loss = 0.00473779
Iteration 52, loss = 0.00470580
Iteration 53, loss = 0.01019871
Iteration 54, loss = 0.00784426
Iteration 55, loss = 0.00564790
Iteration 56, loss = 0.00389720
Iteration 57, loss = 0.00394493
Iteration 58, loss = 0.00524855
Iteration 59, loss = 0.00530345
Iteration 60, loss = 0.00465492
Iteration 61, loss = 0.00324644
Iteration 62, loss = 0.00306560
Iteration 63, loss = 0.00454114
Iteration 64, loss = 0.00326390
Iteration 65, loss = 0.00355502
Iteration 66, loss = 0.00377721
Iteration 67, loss = 0.00758776
Iteration 68, loss = 0.00585682
Iteration 69, loss = 0.00603789
Iteration 70, loss = 0.00629389
Iteration 71, loss = 0.00341500
Iteration 72, loss = 0.00359689
Iteration 73, loss = 0.00350177
