Iteration 1, loss = 1.99442861
Iteration 2, loss = 0.41782413
Iteration 3, loss = 0.41094899
Iteration 4, loss = 0.41026730
Iteration 5, loss = 0.41025919
Iteration 6, loss = 0.40999845
Iteration 7, loss = 0.40930502
Iteration 8, loss = 0.40908812
Iteration 9, loss = 0.40991596
Iteration 10, loss = 0.40915143
Iteration 11, loss = 0.40922129
Iteration 12, loss = 0.40855123
Iteration 13, loss = 0.40854453
Iteration 14, loss = 0.40853433
Iteration 15, loss = 0.40848213
Iteration 16, loss = 0.40853818
Iteration 17, loss = 0.40822100
Iteration 18, loss = 0.40864731
Iteration 19, loss = 0.40780458
Iteration 20, loss = 0.40853674
Iteration 21, loss = 0.40856268
Iteration 22, loss = 0.40844257
Iteration 23, loss = 0.40824524
Iteration 24, loss = 0.40808266
Iteration 25, loss = 0.40818740
Iteration 26, loss = 0.40882807
Iteration 27, loss = 0.40841318
Iteration 28, loss = 0.40807079
Iteration 29, loss = 0.40809931
Iteration 30, loss = 0.40796507
